Fechas ;Producción
1932;2242350
1933;1797541
1934;2368989
1935;2404098
1936;2562295
1937;2814071
1938;2948361
1939;3259153
1940;3496311
1941;3354235
1942;1432650
1943;1811612
1944;3045219
1945;3066803
1946;3021585
1947;3387158
1948;3250273
1949;4060383
1950;4653005
1951;5245628
1952;5284563
1953;5386749
1954;5461885
1955;5425000
1956;6143169
1957;6390984
1958;6407240
1959;7319126
1960;7618852
1961;7274180
1962;7092623
1963;8243579
1964;8551366
1965;9927596
1966;9758197
1967;9409426
1968;8665984
1969;10500000
1970;11300000
1971;11100000
1972;10100000
1973;9493000
1974;8686000
1975;8102000
1976;7553000
1977;7106000
1978;6755000
1979;6410000
1980;6501000
1981;6912000
1982;7320000
1983;7851000
1984;8653000
1985;8887000
1986;15300000
1987;19400000
1988;19000000
1989;20300000
1990;22300000
1991;21500000
1992;22200000
1993;22900000
1994;23000000
1995;29500000
1996;31800000
1997;33200000
1998;38500000
1999;41600000
2000;35300000
2001;31100000
2002;28700000
2003;26900000
2004;26300000
2005;26200000
2006;26400000
2007;26450530
2008;29300165
2009;33398155
2010;39119206
2011;45529870
2012;47022085
2013;49961666
2014;49299353